id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
135Lf4Q0CzlMNfOxbEUsLH,0.391,0.335,0.0,-10.064,0.0763,0.389,0.0,0.102,0.116,174.185
5enxwA8aAbwZbf5qCHORXi,0.631,0.518,0.0,-8.771,0.0303,0.274,0.0,0.088,0.205,93.023
2AaJeBEq3WLcfFW1y8svDf,0.649,0.508,8.0,-10.232,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975
7uLFOXgLrS90tEYPO1DGXy,0.849,0.631,3.0,-4.241,0.0637,0.171,0.0,0.149,0.55,135.997
2lUDBd7JrgAMltcp6dcd7D,0.793,0.481,9.0,-9.258,0.124,0.019,1.09e-06,0.139,0.395,132.202
0qHPxjC83zQYcxe39xSShx,0.875,0.478,7.0,-10.562,0.218,0.00717,0.0,0.147,0.409,128.99
2QIBJFl8DJR1mDh9GwfZef,0.684,0.624,2.0,-7.414,0.347,0.239,0.0,0.112,0.708,146.925
1WGmhglF1ghRiHsx4YUq86,0.762,0.649,11.0,-5.624,0.0527,0.58,1.7e-05,0.0971,0.501,145.09
6DmhZu3SFOPOf4PkngL6TE,0.779,0.601,5.0,-6.474,0.118,0.0133,0.0,0.126,0.248,156.019
3rjwafyisDpLdoJ4RecHp6,0.717,0.444,1.0,-11.126,0.18,0.0196,0.000315,0.114,0.116,124.685
15OlC497ScJt9N2BS8lOev,0.803,0.495,11.0,-5.724,0.321,0.121,0.0,0.104,0.628,80.972
4yNoUQkYf1QF8iYlEzNynH,0.739,0.74,5.0,-5.86,0.333,0.0045,0.0,0.161,0.488,75.575
08F16baYbciTva9P4BvpiI,0.855,0.492,0.0,-7.578,0.0483,0.0775,6.71e-06,0.111,0.385,109.975
7oAN2D1k9Qz8qh2JaNcZrj,0.73,0.707,2.0,-4.889,0.0742,0.012,1.8e-06,0.22,0.718,139.941
1zwvbkUqTozLnmIECvBfgs,0.892,0.577,2.0,-4.299,0.341,0.0121,0.0,0.243,0.64,145.935
